id;points;sme_level;skills;expert_in;shadowing_in;city;location
1;28484;Expert;encompassing;deposit Canadian Dollar Lebanon;Designer Persistent;Armandomouth;Ergonomic transmitter
2;36778;Intermediate;Licensed hacking installation;Argentine Peso;Kentucky Algerian Dinar Clothing;Raleighberg;deposit Sausages
3;69093;Expert;bricks-and-clicks Concrete Global;Fiji Dollar Profound Bacon;Macao Equatorial Guinea Vision-oriented;Port Spencermouth;THX pink even-keeled
4;70035;New;bypassing Marketing;Dynamic Home Loan Account Tools;Branding;Abshireburgh;knowledge user
5;48561;Expert;Bedfordshire;navigate;program alarm;South Karen;Berkshire
6;63633;Intermediate;Coordinator Cambridgeshire Investor;cross-platform Borders;Libyan Dinar CSS;Lake Jessyburgh;Shoes deposit
7;17711;Intermediate;Automotive Tactics architectures;Wisconsin Facilitator Incredible;reinvent;Gleichnerborough;Pants Maryland
8;93615;Intermediate;Director Concrete Bedfordshire;portal calculating Metal;real-time discrete redundant;Gaylordhaven;Senior Avon
9;50151;New;auxiliary Human;Tools California;North Dakota Garden;East Karen;stable Utah Computers
10;3734;Intermediate;Plastic South Georgia and the South Sandwich Islands;composite Orchestrator Club;Intelligent Granite Shirt Peru deposit;Brennonshire;Buckinghamshire alliance redundant
